,P.AS9601,P.MED4,P.MIT9211,P.MIT9215,P.MIT9301,P.MIT9303,P.MIT9312,P.MIT9313,P.MIT9515,P.NATL1A,P.NATL2A,P.CCMP1375,S.CC9311,S.CC9605,S.CC9902,S.PCC6301,S.PCC7002,S.PCC7942,S.RCC307,S.WH7803,S.WH8102
P.AS9601,1.0,0.037111349456924,0.0089548040535769,0.1512177691713637,0.2348163471413482,0.0044701310968223,0.1275942045475539,0.0050150134043763,0.0343845297114511,0.0081206121455971,0.0082472455840992,0.0085799654033653,0.0044064480241846,0.0044748768746004,0.0049257979808481,0.0015079191348814,0.0010886451507399,0.0015398131335951,0.0043676396339077,0.0048571553791878,0.0046574116842335
P.MED4,0.0368978672273956,1.0,0.0088738013528934,0.0339508627545904,0.0387876252344906,0.0044386459895608,0.0369692201264907,0.0049542558371261,0.068470549414288,0.0081462071210071,0.0082425953958759,0.0084890420163261,0.0043377152569898,0.0044471574649274,0.0048819160946831,0.0015120142121518,0.0010951529926895,0.0015418610050096,0.0043385761080243,0.0048063073662388,0.0046605283996144
P.MIT9211,0.0090657855211775,0.0090357569074127,1.0,0.0085632859596343,0.0092027682707577,0.0072106551636047,0.0088931169104996,0.0079929722350488,0.0087435493163532,0.0109479139556199,0.0111686579502079,0.0182172725843114,0.0064117023054131,0.0065385668382257,0.0069628176401581,0.0018070459154954,0.0011981103896862,0.0018443874639737,0.0057329494544731,0.0073440274434597,0.0067350141571601
P.MIT9215,0.1576353259237008,0.0355964771817454,0.0088174258469232,1.0,0.150234429696705,0.0043922667297625,0.1079657706199874,0.0049123540666087,0.0351421275264166,0.0082130234778668,0.0083293077292146,0.0084541594590344,0.0043317132406996,0.0044154207495047,0.0048472606563785,0.0014889328675369,0.0010674529474683,0.0015211961207357,0.0043270858768612,0.0047754581533618,0.0046019341504529
P.MIT9301,0.2313211174526885,0.038431348852667,0.0089548040535769,0.1419729820072155,1.0,0.0045110428829046,0.1242690362877057,0.0050280029532367,0.0334657659016869,0.0081815012449934,0.0082929268448801,0.0085925459977983,0.0044267774341999,0.0045502013574074,0.0049471763356464,0.0015345371371389,0.0010909812991321,0.0015662492918553,0.0044050392098505,0.0049177900389806,0.0047147592472425
P.MIT9303,0.0071222589366176,0.0071130111636479,0.0113480926386051,0.0067132911465357,0.0072960449441491,1.0,0.0069406545880665,0.3437709246966521,0.0067986757331361,0.0090161668641521,0.0091791980121265,0.010462765729317,0.0116429435359349,0.0120965093429475,0.0125441434897171,0.0021769058489616,0.0013097449092823,0.0022230575055325,0.0091496034856404,0.013600035061726,0.0126827460090979
P.MIT9312,0.1307008110543706,0.0380884330105593,0.0089981241792171,0.1060920156298627,0.1292180879221137,0.0044622126866128,1.0,0.0050024428732211,0.0344515841764402,0.0081354302892555,0.0082486132865177,0.0085482279946818,0.004347202314997,0.0044646327449386,0.0049032944494814,0.0014976814417054,0.0010721252442526,0.0015293876063939,0.0043863394218791,0.0048373693323081,0.0046331013042622
P.MIT9313,0.0071904475818564,0.0071444325271537,0.01131990488562,0.0067565153244118,0.0073179998585127,0.3093538105935131,0.0070019439580557,1.0,0.006841320020081,0.0090026958244626,0.0091611443402012,0.0104433229924659,0.0116100292530529,0.0119555019111327,0.0124275751972378,0.0021698325336764,0.001316920222201,0.0022150521900029,0.0090826897865137,0.0135534421126221,0.0125352214810673
P.MIT9515,0.0351201562030639,0.0703400456214027,0.0088212831183844,0.0344326682573164,0.0346982175048971,0.0043583306860076,0.0343522520031213,0.0048735949288801,1.0,0.0080750800314467,0.0081624480341466,0.0084189909791419,0.0042809865223756,0.0044089930603051,0.0048078794764868,0.0015030794981073,0.0010661180055299,0.001531621647937,0.0042730142007992,0.0047967334725873,0.0045560145438406
P.NATL1A,0.0090540702913787,0.0091351571823496,0.0120569404478826,0.0087843055891743,0.0092597900622299,0.00630927613476,0.0088549943358651,0.0070007383091965,0.0088147211607716,1.0,0.4942162600122655,0.0116590658908633,0.0059104371384632,0.0058616508193998,0.0065012702118279,0.0016572033153745,0.0011145096507958,0.001692286468913,0.0052760437917492,0.0064513150487566,0.0061139566722538
